productoid,nombre,referencia,ean13,ingreso,costo,contribucion,ventana_dias,servidor_sync
"004880","YOGURT ALPINA GRIEGO 150G","","7702001158843",12400.0000,8743.3992,3656.6008,30,"192.168.123.231"
"021163","GRAN AROMA 16G PAPRICA MOLIDA","","7707313091314",12400.0000,8528.5302,3871.4698,30,"192.168.123.231"
"023311","GRAN AROMA 16G PEREJIL ESCA","","7707313090270",12400.0000,8351.4425,4048.5575,30,"192.168.123.231"
"022053","MANIMOTO FRITOLAY 180G","","7702189056160",12400.0000,8277.6418,4122.3582,30,"192.168.123.231"
"010879","MILLOWS COLOMBINA 145G FOGATA","","7702011014597",12400.0000,8230.3300,4169.6700,30,"192.168.123.231"
"024833","SERVILLETA FAMILIA 150U PRACTI DIARIAS BLANCA","","7702026020927",12400.0000,8229.2159,4170.7841,30,"192.168.123.231"
"014031","CEPILLO DENTAL COLGATE PREMIER CLEAN MEDIO","200030504","6910021007206",12400.0000,8092.0000,4308.0000,30,"192.168.123.231"
"030827","PISTACHO DISPRONAT 100G BOLSA CJAX8U","","7703080865141",12400.0000,6576.9600,5823.0400,30,"192.168.123.231"
"002119","PILA ENERGIZER MAX ALKALINA 2U AA","200006170","0039800015464",12400.0000,4886.9600,7513.0400,30,"192.168.123.231"
"010926","PAÑITOS PEQUEÑIN 100U HUMEDOS ALOE NATURAL","200029017","7702026313814",12300.0000,8757.5400,3542.4600,30,"192.168.123.231"
"029845","KOTEX 24U COMFORT ULTRA DELGADA","200047795","7441008102816",12300.0000,8502.9308,3797.0692,30,"192.168.123.231"
"015541","ASPIRINA ULTRA 4TAB 500MG CJAX100TAB","100022771","7702123009535",12300.0000,2673.7649,9626.2351,30,"192.168.123.231"
"024663","NOSOTRAS 3U TALLA M MAXIMA PROTECCION PANTY DESECHABLE","200042450","7702026184087",12200.0000,12111.0000,89.0000,30,"192.168.123.231"
"028518","CAF COLCAFE AMARETTO 50G","28518","7702032119042",12200.0000,9466.9500,2733.0500,30,"192.168.123.231"
"004786","MARGARINA FINA HOJALDRE 500G","","7702161003021",12200.0000,8426.0000,3774.0000,30,"192.168.123.231"
"030537","MANI LA ESPECIAL 132G KRAKS LIMON","","7702007071634",12200.0000,7796.0000,4404.0000,30,"192.168.123.231"
"021051","JERINGA FAST CARE 21X1 1/2 5ML 1U CJAX100U","200045099","7704768006573",12150.0000,2583.5616,9566.4384,30,"192.168.123.231"
"001459","AMLODIPINO 10MG 10TAB GENFAR","100001654","7702605100446",12100.0000,10233.2500,1866.7500,30,"192.168.123.231"
"028977","FAST CARE 6ML ADULTO ICOM","200046358","7704768007679",12100.0000,4043.6600,8056.3400,30,"192.168.123.231"
"028962","ATADIN 10TAB CAJA 10MG ICOM","100028650","7708966487400",12100.0000,2808.0000,9292.0000,30,"192.168.123.231"
"028705","GOMAS TRULULU 100G FRESITAS BOLSA","","7702993053133",12000.0000,8055.8620,3944.1380,30,"192.168.123.231"
"027696","ACEITUNA LA CORUÑA 200G DESHUESADA","","7702312648064",12000.0000,7785.4007,4214.5993,30,"192.168.123.231"
"001530","ACIDO BORICO 100G CAJA PROMEGAN","200002016","7707260161856",12000.0000,7560.0000,4440.0000,30,"192.168.123.231"
"002374","FRESCO FRUTIÑO 10G DISX24U","","7702354032395",12000.0000,6999.9435,5000.0565,30,"192.168.123.231"
"030899","DIPIRET 500MG 10TAB ICOM CJAX50TAB","100027466","7704768002872",12000.0000,3828.0000,8172.0000,30,"192.168.123.231"
"028063","SOLOMOXY 500MG 10TAB FAES FARMA CJAX60TAB","100022703","7707274724139",12000.0000,3361.8845,8638.1155,30,"192.168.123.231"
