REF,UNIDAD,MEDIDA,CANTIDAD
27427,CJA,Gramo,352
3746,FCO,Mililitro,90
19457,FCO,Gramo,150
10520,FCO,Mililitro,90
11858,SBS,Gramo,325
3543,FCO,Mililitro,120
20419,FCO,Mililitro,120
18387,FCO,Mililitro,400
18898,PAQ,Gramo,140
18897,PAQ,Gramo,250
18900,PAQ,Gramo,240
18899,PAQ,Gramo,80
17247,PAQ,Gramo,360
3430,FCO,Mililitro,120
3377,FCO,Mililitro,360
6802,FCO,Mililitro,360
26234,FCO,Mililitro,15
26235,FCO,Mililitro,15
27359,CJA,Gramo,15
7020,CJA,Gramo,800
3352,FCO,Mililitro,120
5358,OFE,Mililitro,120
4911,FCO,Mililitro,400
5371,OFE,Gramo,400
15703,FCO,Mililitro,400
26185,UND,Mililitro,200
4558,FCO,Mililitro,120
6978,CJA,Gramo,1
8602,TBO,Gramo,15
27360,CJA,Gramo,15
9929,TBO,Gramo,15
1529,BOT,Mililitro,490
4318,UND,Gramo,500
3681,UND,Mililitro,500
8619,POT,Gramo,30
6020,FCO,Mililitro,60
19506,FCO,Mililitro,30
7534,FCO,Mililitro,200
7275,FCO,Mililitro,350
19942,SBS,Mililitro,16
13268,FCO,Mililitro,350
17160,FCO,Mililitro,350
17143,FCO,Mililitro,350
15368,FCO,Mililitro,350
13563,FCO,Mililitro,350
7214,FCO,Mililitro,200
7014,FCO,Mililitro,400
11205,FCO,Mililitro,400
7015,FCO,Mililitro,400
10729,FCO,Mililitro,200
11159,UND,Gramo,236
21583,UND,Mililitro,355
26971,UND,Mililitro,370
27290,FCO,Mililitro,370
26970,UND,Mililitro,370
27291,FCO,Mililitro,370
9838,FCO,Mililitro,400
9836,FCO,Mililitro,400
9837,FCO,Mililitro,400
9835,FCO,Mililitro,400
16279,FCO,Mililitro,400
25603,UND,Mililitro,70
16364,FCO,Mililitro,400
14567,FCO,Mililitro,400
5259,UND,Gramo,350
10248,FCO,Mililitro,400
16328,FCO,Mililitro,200
27381,FCO,Mililitro,370
26412,FCO,Mililitro,370
10221,FCO,Mililitro,400
5552,FCO,Mililitro,400
23052,FCO,Mililitro,400
8211,FCO,Mililitro,400
19079,FCO,Mililitro,400
15110,FCO,Mililitro,400
11294,FCO,Mililitro,250
11354,FCO,Mililitro,250
13142,FCO,Mililitro,200
11463,FCO,Mililitro,200
8468,FCO,Mililitro,375
10792,FCO,Mililitro,375
8467,FCO,Mililitro,375
11785,FCO,Gramo,200
17716,FCO,Mililitro,200
14217,FCO,Mililitro,200
6805,FCO,Mililitro,200
3505,FCO,Mililitro,200
3506,FCO,Mililitro,200
11792,FCO,Mililitro,200
17793,FCO,Mililitro,200
14218,FCO,Mililitro,400
7379,FCO,Mililitro,400
13070,FCO,Mililitro,200
8181,FCO,Mililitro,375
9741,FCO,Mililitro,375
8381,FCO,Mililitro,375
8182,FCO,Mililitro,375
10656,FCO,Mililitro,375
15422,FCO,Mililitro,375
13740,FCO,Mililitro,375
22764,FCO,Mililitro,375
8300,FCO,Mililitro,375
8183,FCO,Mililitro,375
4602,FCO,Mililitro,400
4862,FCO,Mililitro,400
7690,FCO,Mililitro,400
3486,FCO,Mililitro,250
16265,FCO,Mililitro,400
18079,FCO,Mililitro,400
27324,FCO,Mililitro,550
6696,FCO,Mililitro,400
4116,FCO,Mililitro,400
3625,FCO,Mililitro,400
3623,FCO,Mililitro,200
13834,FCO,Mililitro,170
17365,FCO,Mililitro,170
19659,FCO,Mililitro,170
5125,FCO,Mililitro,200
4414,FCO,Mililitro,200
13652,FCO,Mililitro,200
7856,FCO,Mililitro,350
27393,UND,Mililitro,250
27062,UND,Mililitro,250
26264,FCO,Mililitro,400
5931,FCO,Mililitro,400
5248,FCO,Mililitro,400
3624,FCO,Mililitro,400
19844,FCO,Mililitro,400
13653,FCO,Mililitro,400
8212,FCO,Mililitro,400
18476,FCO,Mililitro,90
18862,FCO,Mililitro,400
15411,FCO,Mililitro,400
15691,UND,Mililitro,340
18575,FCO,Mililitro,340
15776,PAQ,Mililitro,100
17975,UND,Mililitro,100
14651,UND,Mililitro,100
18696,FCO,Mililitro,100
9501,UND,Mililitro,340
8245,UND,Mililitro,340
9469,UND,Mililitro,340
26758,FCO,Mililitro,490
26759,FCO,Mililitro,490
26760,FCO,Mililitro,490
26757,FCO,Mililitro,490
26761,FCO,Mililitro,490
26762,FCO,Mililitro,490
26763,FCO,Mililitro,490
15630,FCO,Mililitro,530
14513,FCO,Mililitro,530
23068,FCO,Mililitro,530
10834,FCO,Mililitro,530
5180,FCO,Mililitro,350
9985,SBS,Mililitro,15
3757,FCO,Mililitro,200
14877,FCO,Mililitro,200
3758,FCO,Mililitro,200
5726,FCO,Mililitro,200
24178,FCO,Gramo,340
5179,FCO,Mililitro,340
7654,FCO,Mililitro,340
16220,FCO,Mililitro,340
5725,FCO,Mililitro,350
9330,FCO,Mililitro,350
6746,FCO,Mililitro,350
9472,FCO,Mililitro,350
5554,FCO,Mililitro,350
17843,FCO,Mililitro,350
8301,FCO,Mililitro,500
8016,FCO,Mililitro,500
10178,FCO,Mililitro,415
18818,FCO,Mililitro,400
26440,FCO,Mililitro,415
16538,FCO,Mililitro,415
9209,FCO,Gramo,415
8313,FCO,Mililitro,415
15182,FCO,Mililitro,400
20493,UND,Mililitro,600
9924,BOT,Mililitro,1500
2927,UND,Gramo,250
2930,UND,Gramo,500
2926,UND,Gramo,1000
6414,CJA,Gramo,400
6340,FCO,Mililitro,15
26121,FCO,Gramo,250
26034,FCO,Gramo,500
23548,FCO,Gramo,100
23546,UND,Gramo,300
23545,FCO,Gramo,500
21226,UND,Gramo,100
19382,FCO,Gramo,245
25360,UND,Gramo,100
25361,FCO,Gramo,250
25362,FCO,Gramo,500
26731,FCO,Mililitro,60
7989,FCO,Mililitro,24
8284,FCO,Mililitro,100
3771,FCO,Mililitro,120
3772,FCO,Mililitro,60
6692,CJA,Gramo,200
6693,FCO,Mililitro,5
7995,PAQ,Gramo,2000
26679,PAQ,Gramo,1500
27377,FCO,Mililitro,1000
26550,UND,Mililitro,280
27304,UND,Mililitro,2520
20190,BOT,Mililitro,3000
13157,FCO,Mililitro,620
5181,BSA,Mililitro,5000
21261,BOT,Mililitro,1500
497,UND,Mililitro,1000
15385,FCO,Mililitro,1500
20238,FCO,Mililitro,600
10531,FCO,Mililitro,1000
22799,12U,Gramo,3600
3610,UND,Mililitro,2000
5649,UND,Mililitro,5000
4301,UND,Mililitro,500
6707,BSA,Mililitro,5000
19460,FCO,Mililitro,120
